;experiment_number;batch_size;learning_rate;weight_decay;gamma;entropy;distill;dataset;perm_epoch
485;86;16;2e-05;0.01;1.0;0.1;3;qqp;6
486;87;16;3e-05;0.01;1.0;0.5;1;qqp;7
487;88;16;4e-05;0.01;1.0;1.0;5;qqp;8
488;89;16;1e-05;0.01;1.0;5.0;4;qqp;9
489;90;16;2e-05;0.01;1.0;10.0;2;qqp;10
490;91;16;3e-05;0.01;1.0;1.0;1;qqp;1
491;92;16;4e-05;0.01;1.0;0.1;2;qqp;2
492;93;16;1e-05;0.01;1.0;0.5;3;qqp;3
493;94;16;2e-05;0.01;1.0;5.0;4;qqp;4
494;95;16;3e-05;0.01;1.0;10.0;5;qqp;5
495;96;16;4e-05;0.01;1.0;0.05;4;qqp;6
496;97;16;1e-05;0.01;1.0;0.05;5;qqp;7
497;98;16;2e-05;0.01;1.0;0.1;1;qqp;8
498;99;16;3e-05;0.01;1.0;0.5;3;qqp;9
499;100;16;4e-05;0.01;1.0;1.0;2;qqp;10
500;1;16;1e-05;0.0;0.01;0.05;1;mnli;1
501;2;16;2e-05;0.0;0.01;0.1;2;mnli;2
502;3;16;3e-05;0.0;0.01;0.5;3;mnli;3
503;4;16;4e-05;0.0;0.01;1.0;4;mnli;4
504;5;16;1e-05;0.0;0.01;5.0;5;mnli;5
505;6;16;2e-05;0.0;0.01;10.0;4;mnli;6
506;7;16;3e-05;0.0;0.01;1.0;5;mnli;7
507;8;16;4e-05;0.0;0.01;0.1;1;mnli;8
508;9;16;1e-05;0.0;0.01;0.5;3;mnli;9
509;10;16;2e-05;0.0;0.01;5.0;2;mnli;10
510;11;16;3e-05;0.0;0.01;10.0;3;mnli;1
511;12;16;4e-05;0.0;0.01;0.05;1;mnli;2
512;13;16;1e-05;0.0;0.01;0.05;5;mnli;3
513;14;16;2e-05;0.0;0.01;0.1;4;mnli;4
514;15;16;3e-05;0.0;0.01;0.5;2;mnli;5
515;16;16;4e-05;0.0;0.01;1.0;1;mnli;6
516;17;16;1e-05;0.0;0.01;5.0;2;mnli;7
517;18;16;2e-05;0.0;0.01;10.0;3;mnli;8
518;19;16;3e-05;0.0;0.01;1.0;4;mnli;9
519;20;16;4e-05;0.0;0.01;0.1;5;mnli;10
520;21;16;1e-05;0.0;0.01;0.5;4;mnli;1
521;22;16;2e-05;0.0;0.01;5.0;5;mnli;2
522;23;16;3e-05;0.0;0.01;10.0;1;mnli;3
523;24;16;4e-05;0.0;0.01;0.05;3;mnli;4
524;25;16;1e-05;0.0;0.01;0.05;2;mnli;5
525;26;16;2e-05;0.0;0.01;0.1;3;mnli;6
526;27;16;3e-05;0.0;0.01;0.5;1;mnli;7
527;28;16;4e-05;0.0;0.01;1.0;5;mnli;8
528;29;16;1e-05;0.0;0.01;5.0;4;mnli;9
529;30;16;2e-05;0.0;0.01;10.0;2;mnli;10
530;31;16;3e-05;0.0;0.01;1.0;1;mnli;1
531;32;16;4e-05;0.0;0.01;0.1;2;mnli;2
532;33;16;1e-05;0.0;0.01;0.5;3;mnli;3
533;34;16;2e-05;0.0;0.01;5.0;4;mnli;4
534;35;16;3e-05;0.0;0.01;10.0;5;mnli;5
535;36;16;4e-05;0.0;0.01;0.05;4;mnli;6
536;37;16;1e-05;0.0;0.01;0.05;5;mnli;7
537;38;16;2e-05;0.0;0.01;0.1;1;mnli;8
538;39;16;3e-05;0.0;0.01;0.5;3;mnli;9
539;40;16;4e-05;0.0;0.01;1.0;2;mnli;10
540;41;16;1e-05;0.0;0.01;5.0;3;mnli;1
541;42;16;2e-05;0.0;0.01;10.0;1;mnli;2
542;43;16;3e-05;0.0;0.01;1.0;5;mnli;3
543;44;16;4e-05;0.0;0.01;0.1;4;mnli;4
544;45;16;1e-05;0.0;0.01;0.5;2;mnli;5
545;46;16;2e-05;0.0;0.01;5.0;1;mnli;6
546;47;16;3e-05;0.0;0.01;10.0;2;mnli;7
547;48;16;4e-05;0.0;0.01;0.05;3;mnli;8
548;49;16;1e-05;0.0;0.01;0.05;4;mnli;9
549;50;16;2e-05;0.0;0.01;0.1;5;mnli;10
550;51;16;3e-05;0.0;0.01;0.5;4;mnli;1
551;52;16;4e-05;0.0;0.01;1.0;5;mnli;2
552;53;16;1e-05;0.0;0.01;5.0;1;mnli;3
553;54;16;2e-05;0.0;0.01;10.0;3;mnli;4
554;55;16;3e-05;0.0;0.01;1.0;2;mnli;5
555;56;16;4e-05;0.0;0.01;0.1;3;mnli;6
556;57;16;1e-05;0.0;0.01;0.5;1;mnli;7
557;58;16;2e-05;0.0;0.01;5.0;5;mnli;8
558;59;16;3e-05;0.0;0.01;10.0;4;mnli;9
559;60;16;4e-05;0.0;0.01;0.05;2;mnli;10
560;61;16;1e-05;0.0;0.01;0.05;1;mnli;1
561;62;16;2e-05;0.0;0.01;0.1;2;mnli;2
562;63;16;3e-05;0.0;0.01;0.5;3;mnli;3
563;64;16;4e-05;0.0;0.01;1.0;4;mnli;4
564;65;16;1e-05;0.0;0.01;5.0;5;mnli;5
565;66;16;2e-05;0.0;0.01;10.0;4;mnli;6
566;67;16;3e-05;0.0;0.01;1.0;5;mnli;7
567;68;16;4e-05;0.0;0.01;0.1;1;mnli;8
568;69;16;1e-05;0.0;0.01;0.5;3;mnli;9
569;70;16;2e-05;0.0;0.01;5.0;2;mnli;10
570;71;16;3e-05;0.0;0.01;10.0;3;mnli;1
571;72;16;4e-05;0.0;0.01;0.05;1;mnli;2
572;73;16;1e-05;0.0;0.01;0.05;5;mnli;3
573;74;16;2e-05;0.0;0.01;0.1;4;mnli;4
574;75;16;3e-05;0.0;0.01;0.5;2;mnli;5
575;76;16;4e-05;0.0;0.01;1.0;1;mnli;6
576;77;16;1e-05;0.0;0.01;5.0;2;mnli;7
577;78;16;2e-05;0.0;0.01;10.0;3;mnli;8
578;79;16;3e-05;0.0;0.01;1.0;4;mnli;9
579;80;16;4e-05;0.0;0.01;0.1;5;mnli;10
580;81;16;1e-05;0.0;0.01;0.5;4;mnli;1
581;82;16;2e-05;0.0;0.01;5.0;5;mnli;2
582;83;16;3e-05;0.0;0.01;10.0;1;mnli;3
583;84;16;4e-05;0.0;0.01;0.05;3;mnli;4
584;85;16;1e-05;0.0;0.01;0.05;2;mnli;5
585;86;16;2e-05;0.0;0.01;0.1;3;mnli;6
586;87;16;3e-05;0.0;0.01;0.5;1;mnli;7
587;88;16;4e-05;0.0;0.01;1.0;5;mnli;8
588;89;16;1e-05;0.0;0.01;5.0;4;mnli;9
589;90;16;2e-05;0.0;0.01;10.0;2;mnli;10
590;91;16;3e-05;0.0;0.01;1.0;1;mnli;1
591;92;16;4e-05;0.0;0.01;0.1;2;mnli;2
592;93;16;1e-05;0.0;0.01;0.5;3;mnli;3
593;94;16;2e-05;0.0;0.01;5.0;4;mnli;4
594;95;16;3e-05;0.0;0.01;10.0;5;mnli;5
595;96;16;4e-05;0.0;0.01;0.05;4;mnli;6
596;97;16;1e-05;0.0;0.01;0.05;5;mnli;7
597;98;16;2e-05;0.0;0.01;0.1;1;mnli;8
598;99;16;3e-05;0.0;0.01;0.5;3;mnli;9
599;100;16;4e-05;0.0;0.01;1.0;2;mnli;10
600;1;16;1e-05;0.0;1.0;0.05;1;qnli;1
601;2;16;2e-05;0.0;1.0;0.1;2;qnli;2
602;3;16;3e-05;0.0;1.0;0.5;3;qnli;3
603;4;16;4e-05;0.0;1.0;1.0;4;qnli;4
604;5;16;1e-05;0.0;1.0;5.0;5;qnli;5
605;6;16;2e-05;0.0;1.0;10.0;4;qnli;6
606;7;16;3e-05;0.0;1.0;1.0;5;qnli;7
607;8;16;4e-05;0.0;1.0;0.1;1;qnli;8
608;9;16;1e-05;0.0;1.0;0.5;3;qnli;9
609;10;16;2e-05;0.0;1.0;5.0;2;qnli;10
610;11;16;3e-05;0.0;1.0;10.0;3;qnli;1
611;12;16;4e-05;0.0;1.0;0.05;1;qnli;2
612;13;16;1e-05;0.0;1.0;0.05;5;qnli;3
613;14;16;2e-05;0.0;1.0;0.1;4;qnli;4
614;15;16;3e-05;0.0;1.0;0.5;2;qnli;5
615;16;16;4e-05;0.0;1.0;1.0;1;qnli;6
616;17;16;1e-05;0.0;1.0;5.0;2;qnli;7
617;18;16;2e-05;0.0;1.0;10.0;3;qnli;8
618;19;16;3e-05;0.0;1.0;1.0;4;qnli;9
619;20;16;4e-05;0.0;1.0;0.1;5;qnli;10
620;21;16;1e-05;0.0;1.0;0.5;4;qnli;1
621;22;16;2e-05;0.0;1.0;5.0;5;qnli;2
622;23;16;3e-05;0.0;1.0;10.0;1;qnli;3
623;24;16;4e-05;0.0;1.0;0.05;3;qnli;4
624;25;16;1e-05;0.0;1.0;0.05;2;qnli;5
625;26;16;2e-05;0.0;1.0;0.1;3;qnli;6
626;27;16;3e-05;0.0;1.0;0.5;1;qnli;7
627;28;16;4e-05;0.0;1.0;1.0;5;qnli;8
628;29;16;1e-05;0.0;1.0;5.0;4;qnli;9
629;30;16;2e-05;0.0;1.0;10.0;2;qnli;10
630;31;16;3e-05;0.0;1.0;1.0;1;qnli;1
631;32;16;4e-05;0.0;1.0;0.1;2;qnli;2
632;33;16;1e-05;0.0;1.0;0.5;3;qnli;3
633;34;16;2e-05;0.0;1.0;5.0;4;qnli;4
634;35;16;3e-05;0.0;1.0;10.0;5;qnli;5
635;36;16;4e-05;0.0;1.0;0.05;4;qnli;6
636;37;16;1e-05;0.0;1.0;0.05;5;qnli;7
637;38;16;2e-05;0.0;1.0;0.1;1;qnli;8
638;39;16;3e-05;0.0;1.0;0.5;3;qnli;9
639;40;16;4e-05;0.0;1.0;1.0;2;qnli;10
640;41;16;1e-05;0.0;1.0;5.0;3;qnli;1
641;42;16;2e-05;0.0;1.0;10.0;1;qnli;2
642;43;16;3e-05;0.0;1.0;1.0;5;qnli;3
643;44;16;4e-05;0.0;1.0;0.1;4;qnli;4
644;45;16;1e-05;0.0;1.0;0.5;2;qnli;5
645;46;16;2e-05;0.0;1.0;5.0;1;qnli;6
646;47;16;3e-05;0.0;1.0;10.0;2;qnli;7
647;48;16;4e-05;0.0;1.0;0.05;3;qnli;8
648;49;16;1e-05;0.0;1.0;0.05;4;qnli;9
649;50;16;2e-05;0.0;1.0;0.1;5;qnli;10
650;51;16;3e-05;0.0;1.0;0.5;4;qnli;1
651;52;16;4e-05;0.0;1.0;1.0;5;qnli;2
652;53;16;1e-05;0.0;1.0;5.0;1;qnli;3
653;54;16;2e-05;0.0;1.0;10.0;3;qnli;4
654;55;16;3e-05;0.0;1.0;1.0;2;qnli;5
655;56;16;4e-05;0.0;1.0;0.1;3;qnli;6
656;57;16;1e-05;0.0;1.0;0.5;1;qnli;7
657;58;16;2e-05;0.0;1.0;5.0;5;qnli;8
658;59;16;3e-05;0.0;1.0;10.0;4;qnli;9
659;60;16;4e-05;0.0;1.0;0.05;2;qnli;10
660;61;16;1e-05;0.0;1.0;0.05;1;qnli;1
661;62;16;2e-05;0.0;1.0;0.1;2;qnli;2
662;63;16;3e-05;0.0;1.0;0.5;3;qnli;3
663;64;16;4e-05;0.0;1.0;1.0;4;qnli;4
664;65;16;1e-05;0.0;1.0;5.0;5;qnli;5
665;66;16;2e-05;0.0;1.0;10.0;4;qnli;6
666;67;16;3e-05;0.0;1.0;1.0;5;qnli;7
667;68;16;4e-05;0.0;1.0;0.1;1;qnli;8
668;69;16;1e-05;0.0;1.0;0.5;3;qnli;9
669;70;16;2e-05;0.0;1.0;5.0;2;qnli;10
670;71;16;3e-05;0.0;1.0;10.0;3;qnli;1
671;72;16;4e-05;0.0;1.0;0.05;1;qnli;2
672;73;16;1e-05;0.0;1.0;0.05;5;qnli;3
673;74;16;2e-05;0.0;1.0;0.1;4;qnli;4
674;75;16;3e-05;0.0;1.0;0.5;2;qnli;5
675;76;16;4e-05;0.0;1.0;1.0;1;qnli;6
676;77;16;1e-05;0.0;1.0;5.0;2;qnli;7
677;78;16;2e-05;0.0;1.0;10.0;3;qnli;8
678;79;16;3e-05;0.0;1.0;1.0;4;qnli;9
679;80;16;4e-05;0.0;1.0;0.1;5;qnli;10
680;81;16;1e-05;0.0;1.0;0.5;4;qnli;1
681;82;16;2e-05;0.0;1.0;5.0;5;qnli;2
682;83;16;3e-05;0.0;1.0;10.0;1;qnli;3
683;84;16;4e-05;0.0;1.0;0.05;3;qnli;4
684;85;16;1e-05;0.0;1.0;0.05;2;qnli;5
685;86;16;2e-05;0.0;1.0;0.1;3;qnli;6
686;87;16;3e-05;0.0;1.0;0.5;1;qnli;7
687;88;16;4e-05;0.0;1.0;1.0;5;qnli;8
688;89;16;1e-05;0.0;1.0;5.0;4;qnli;9
689;90;16;2e-05;0.0;1.0;10.0;2;qnli;10
690;91;16;3e-05;0.0;1.0;1.0;1;qnli;1
691;92;16;4e-05;0.0;1.0;0.1;2;qnli;2
692;93;16;1e-05;0.0;1.0;0.5;3;qnli;3
693;94;16;2e-05;0.0;1.0;5.0;4;qnli;4
694;95;16;3e-05;0.0;1.0;10.0;5;qnli;5
695;96;16;4e-05;0.0;1.0;0.05;4;qnli;6
696;97;16;1e-05;0.0;1.0;0.05;5;qnli;7
697;98;16;2e-05;0.0;1.0;0.1;1;qnli;8
698;99;16;3e-05;0.0;1.0;0.5;3;qnli;9
699;100;16;4e-05;0.0;1.0;1.0;2;qnli;10
